Number of clusters;Number of nodes;Diameter;Avr diameter;Degree;Cost;Traffic
1;9;4;2,143;4;8;1,071
2;18;4;2,143;4;16;1,071
3;27;6;2,971;6;32;0,99
4;36;6;2,915;6;50;0,972
5;45;6;3,013;7;67;0,861
6;54;6;2,979;8;88;0,745
7;63;6;3,056;9;106;0,679
8;72;6;3,121;10;124;0,624
9;81;6;3,176;11;142;0,577
10;90;6;3,223;12;160;0,537
11;99;6;3,263;13;178;0,502
12;108;6;3,297;14;196;0,471
13;117;6;3,327;15;214;0,444
14;126;6;3,354;16;232;0,419
15;135;6;3,377;17;250;0,397
16;144;6;3,398;18;268;0,378
17;153;6;3,417;19;286;0,36
18;162;6;3,434;20;304;0,343
19;171;6;3,449;21;322;0,328
20;180;6;3,463;22;340;0,315
21;189;6;3,475;23;358;0,302
22;198;6;3,487;24;376;0,291
23;207;6;3,497;25;394;0,28
24;216;6;3,507;26;412;0,27
25;225;6;3,516;27;430;0,26
26;234;6;3,525;28;448;0,252
27;243;6;3,533;29;466;0,244
28;252;6;3,54;30;484;0,236
29;261;6;3,547;31;502;0,229
30;270;6;3,553;32;520;0,222
31;279;6;3,559;33;538;0,216
32;288;6;3,565;34;556;0,21
33;297;6;3,57;35;574;0,204
34;306;6;3,575;36;592;0,199
35;315;6;3,58;37;610;0,194
36;324;6;3,584;38;628;0,189
37;333;6;3,589;39;646;0,184
38;342;6;3,593;40;664;0,18
39;351;6;3,597;41;682;0,175
40;360;6;3,6;42;700;0,171
41;369;6;3,604;43;718;0,168
42;378;6;3,607;44;736;0,164
43;387;6;3,61;45;754;0,16
44;396;6;3,614;46;772;0,157
45;405;6;3,616;47;790;0,154
46;414;6;3,619;48;808;0,151
47;423;6;3,622;49;826;0,148
48;432;6;3,625;50;844;0,145
49;441;6;3,627;51;862;0,142
50;450;6;3,629;52;880;0,14
